Municipio Valladolid (Sí/No),Habitaciones,Baños,Metros cuadrados construidos,Ascensor (Sí/No),Obra nueva (Sí/No),Piscina (Sí/No),Terraza (Sí/No),Parking (Sí/No),Aire acondicionado (Sí/No),Jardín (Sí/No),Precio
1.0,0.36363636363636365,0.2,0.04092392668842581,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19526627218934908
1.0,0.36363636363636365,0.30000000000000004,0.07105197087622395,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34615384615384615
1.0,0.1818181818181818,0.2,0.02736630680391665,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.14437869822485205
1.0,0.1818181818181818,0.2,0.027115239769018327,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.15917159763313607
1.0,0.1818181818181818,0.2,0.026864172734120013,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.1544378698224852
1.0,0.2727272727272727,0.2,0.04569420035149385,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16284023668639053
1.0,0.09090909090909091,0.2,0.017072558373085613,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1044378698224852
1.0,0.1818181818181818,0.2,0.02134069796635702,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.12201183431952661
1.0,0.36363636363636365,0.4,0.0843585237258348,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.257396449704142
1.0,0.1818181818181818,0.1,0.02309816721064524,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15266272189349112
1.0,0.09090909090909091,0.2,0.018578960582475525,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09881656804733727
1.0,0.09090909090909091,0.2,0.01883002761737384,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10177514792899407
1.0,0.0,0.1,0.01054481546572935,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08106508875739644
1.0,0.0,0.1,0.011549083605322622,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0923076923076923
1.0,0.1818181818181818,0.2,0.024604569420035152,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.14698224852071004
1.0,0.2727272727272727,0.2,0.02837057494350992,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.1842603550295858
1.0,0.09090909090909091,0.2,0.019583228722068795,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1305325443786982
1.0,0.1818181818181818,0.2,0.02736630680391665,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15727810650887572
1.0,0.2727272727272727,0.2,0.032136580466984685,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.17810650887573962
1.0,0.1818181818181818,0.2,0.0253577705247301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09940828402366862
1.0,0.1818181818181818,0.2,0.02962591011800151,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1633136094674556
1.0,0.1818181818181818,0.2,0.03288978157167964,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.08869822485207099
1.0,0.09090909090909091,0.1,0.013808686919407483,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.20414201183431951
1.0,0.2727272727272727,0.2,0.10017574692442882,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2710059171597633
1.0,0.0,0.1,0.007280944012051219,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09763313609467454
1.0,0.2727272727272727,0.2,0.041677127793120765,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5562130177514792
1.0,0.1818181818181818,0.2,0.03640472006025609,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.14201124260355028
1.0,0.1818181818181818,0.1,0.025608837559628422,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.06449704142011833
1.0,0.09090909090909091,0.2,0.02209389907105197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14497041420118342
